date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-25,Telangana,Nalgonda,508206,43,186
01-03-25,Telangana,Mahabubnagar,509407,28,96
01-03-25,Telangana,Vikarabad,509338,32,215
01-03-25,Telangana,Jagitial,505532,13,98
01-04-25,Telangana,Hyderabad,500028,175,1046
01-03-25,Telangana,Medchal-malkajgiri,501401,61,303
01-03-25,Telangana,Nagarkurnool,509385,44,171
01-03-25,Telangana,Adilabad,504201,20,88
01-03-25,Telangana,K.v. Rangareddy,501505,145,639
01-03-25,Telangana,Khammam,507001,91,695
01-03-25,Telangana,Narayanpet,509407,23,218
01-03-25,Telangana,Yadadri.,508253,41,542
01-03-25,Telangana,Kamareddy,503123,42,116
01-03-25,Telangana,K.v. Rangareddy,509335,33,111
01-03-25,Telangana,Medak,502318,20,104
01-03-25,Telangana,Suryapet,508213,139,1035
01-03-25,Telangana,Medchal-malkajgiri,500083,98,471
01-03-25,Telangana,Medak,502312,11,24
01-03-25,Telangana,Vikarabad,501106,34,139
01-03-25,Telangana,Karimnagar,505306,16,53
01-03-25,Telangana,Nizamabad,503002,69,362
01-03-25,Telangana,Warangal Rural,506349,11,244
01-03-25,Telangana,Khammam,507101,16,58
01-03-25,Telangana,Mahabubabad,506112,33,559
01-03-25,Telangana,Hyderabad,500064,205,1012
01-03-25,Telangana,Khammam,507122,51,415
01-03-25,Telangana,Adilabad,504312,69,485
01-03-25,Telangana,Warangal Rural,506164,14,141
01-03-25,Telangana,Mahabubnagar,509324,74,293
01-03-25,Telangana,Mancherial,504231,41,411
01-03-25,Telangana,Suryapet,508223,10,364
01-03-25,Telangana,Adilabad,504202,31,178
01-03-25,Telangana,Khammam,507168,40,360
01-03-25,Telangana,Warangal,506369,15,48
01-03-25,Telangana,Karimnagar,505304,37,97
01-03-25,Telangana,Medak,502276,25,55
01-03-25,Telangana,Medchal-malkajgiri,500098,55,325
01-03-25,Telangana,Rangareddy,501505,82,912
01-03-25,Telangana,Hyderabad,500005,209,1134
01-03-25,Telangana,Karimnagar,505497,16,59
01-03-25,Telangana,K.v. Rangareddy,500039,100,387
01-03-25,Telangana,Kamareddy,503120,22,66
01-03-25,Telangana,Wanaparthy,509130,58,223
01-03-25,Telangana,Hyderabad,500002,102,586
01-03-25,Telangana,Medak,502257,17,116
01-03-25,Telangana,K.v. Rangareddy,500046,17,123
01-03-25,Telangana,Bhadradri Kothagudem,507301,103,704
01-03-25,Telangana,Warangal,506315,68,338
01-04-25,Telangana,Hyderabad,500005,164,1036
01-05-25,Telangana,Vikarabad,501141,170,715
01-05-25,Telangana,Medchal-malkajgiri,500072,190,1089
01-05-25,Telangana,Medchal-malkajgiri,500090,256,1506
01-05-25,Telangana,Siddipet,502103,95,418
01-05-25,Telangana,Sangareddy,502032,265,1269
01-05-25,Telangana,K.v. Rangareddy,500052,120,687
01-05-25,Telangana,Hyderabad,500053,191,1459
01-05-25,Telangana,K.v. Rangareddy,500089,133,822
01-05-25,Telangana,Hyderabad,500002,112,602
01-06-25,Telangana,K.v. Rangareddy,500005,243,1127
01-06-25,Telangana,Narayanpet,509352,361,1774
01-06-25,Telangana,Suryapet,508213,200,1466
01-06-25,Telangana,Jogulamba Gadwal,509128,209,779
01-06-25,Telangana,Hyderabad,500034,81,535
01-06-25,Telangana,Hyderabad,500013,296,1460
01-06-25,Telangana,Medchal-malkajgiri,500087,145,540
01-07-25,Telangana,Suryapet,508213,201,1703
01-07-25,Telangana,Hyderabad,500002,189,1004
01-07-25,Telangana,Nirmal,504106,77,723
01-07-25,Telangana,Vikarabad,501101,100,977
01-07-25,Telangana,Jogulamba Gadwal,509128,197,1046
01-07-25,Telangana,Hyderabad,500023,179,1262
01-07-25,Telangana,Hyderabad,500059,222,2494
01-07-25,Telangana,Hanumakonda,506001,114,1086
01-03-25,Telangana,Medak,502290,36,184
01-03-25,Telangana,Adilabad,504104,16,54
01-03-25,Telangana,Siddipet,502280,21,27
01-03-25,Telangana,Mahabubnagar,509301,158,682
01-03-25,Telangana,Karimnagar,505466,34,150
01-03-25,Telangana,Karimnagar,505402,51,133
01-03-25,Telangana,Karimnagar,505469,42,271
01-03-25,Telangana,Mahabubabad,506315,44,197
01-03-25,Telangana,Vikarabad,509336,49,239
01-03-25,Telangana,Adilabad,504205,12,64
01-03-25,Telangana,Medak,502296,53,223
01-03-25,Telangana,Hyderabad,500004,87,502
01-07-25,Telangana,Hyderabad,500020,169,860
01-07-25,Telangana,Nizamabad,503001,315,2044
01-07-25,Telangana,Narayanpet,509208,177,1540
01-07-25,Telangana,Jagitial,505326,45,253
01-07-25,Telangana,Hyderabad,500006,199,1376
01-07-25,Telangana,K.v. Rangareddy,500005,265,1494
01-09-25,Telangana,Adilabad,504002,0,5
01-09-25,Telangana,Adilabad,504101,1,2
01-09-25,Telangana,Adilabad,504103,1,11
01-09-25,Telangana,Adilabad,504203,1,5
01-09-25,Telangana,Adilabad,504216,0,1
01-09-25,Telangana,Adilabad,504294,0,2
01-09-25,Telangana,Adilabad,504306,0,1
01-09-25,Telangana,Adilabad,504309,2,30
01-09-25,Telangana,Adilabad,504323,2,24
01-09-25,Telangana,Bhadradri Kothagudem,507117,7,31
01-09-25,Telangana,Bhadradri Kothagudem,507118,1,7
01-09-25,Telangana,Bhadradri Kothagudem,507123,7,60
01-09-25,Telangana,Bhadradri Kothagudem,507306,10,24
01-09-25,Telangana,Hanumakonda,506001,5,43
01-09-25,Telangana,Hanumakonda,506015,2,5
01-09-25,Telangana,Hanumakonda,506349,0,6
01-09-25,Telangana,Hyderabad,500001,3,21
01-09-25,Telangana,Hyderabad,500002,4,36
01-09-25,Telangana,Hyderabad,500016,1,13
01-09-25,Telangana,Hyderabad,500017,1,14
01-09-25,Telangana,Hyderabad,500026,5,24
01-09-25,Telangana,Hyderabad,500028,7,67
01-09-25,Telangana,Hyderabad,500034,3,21
01-09-25,Telangana,Hyderabad,500040,0,8
01-09-25,Telangana,Hyderabad,500061,2,32
01-09-25,Telangana,Hyderabad,500073,0,3
01-09-25,Telangana,Hyderabad,500082,1,8
01-09-25,Telangana,Hyderabad,500087,1,0
01-09-25,Telangana,Jagitial,505325,2,12
01-09-25,Telangana,Jagitial,505330,0,2
01-09-25,Telangana,Jagitial,505425,0,10
01-09-25,Telangana,Jagitial,505501,0,9
01-09-25,Telangana,Jangaon,506244,0,1
01-09-25,Telangana,Jangaon,506316,0,1
01-09-25,Telangana,Jangoan,506316,0,50
01-09-25,Telangana,Jayashankar Bhupalpally,505503,7,46
01-09-25,Telangana,Jayashankar Bhupalpally,506356,0,56
01-09-25,Telangana,Jogulamba Gadwal,509127,5,19
01-09-25,Telangana,Jogulamba Gadwal,509129,2,6
01-09-25,Telangana,Jogulamba Gadwal,509132,3,20
01-09-25,Telangana,K.v. Rangareddy,500014,1,3
01-09-25,Telangana,K.v. Rangareddy,500032,5,22
01-09-25,Telangana,K.v. Rangareddy,500037,0,9
01-09-25,Telangana,K.v. Rangareddy,500052,9,47
01-09-25,Telangana,K.v. Rangareddy,500055,2,11
01-09-25,Telangana,K.v. Rangareddy,500074,5,20
01-09-25,Telangana,K.v. Rangareddy,500081,0,7
01-09-25,Telangana,K.v. Rangareddy,500083,1,2
01-09-25,Telangana,K.v. Rangareddy,500091,1,11
01-09-25,Telangana,K.v. Rangareddy,500092,0,5
01-09-25,Telangana,K.v. Rangareddy,501158,0,13
01-09-25,Telangana,K.v. Rangareddy,501218,5,32
01-09-25,Telangana,K.v. Rangareddy,509325,8,60
01-09-25,Telangana,K.v. Rangareddy,509337,1,1
01-09-25,Telangana,K.v. Rangareddy,509339,0,3
01-09-25,Telangana,K.v. Rangareddy,509340,0,7
01-09-25,Telangana,K.v. Rangareddy,509371,0,1
01-09-25,Telangana,K.v. Rangareddy,509410,1,17
01-09-25,Telangana,Kamareddy,503101,1,23
01-09-25,Telangana,Kamareddy,503111,4,30
01-09-25,Telangana,Kamareddy,503122,3,2
01-09-25,Telangana,Kamareddy,503124,1,10
01-09-25,Telangana,Kamareddy,503144,1,10
01-09-25,Telangana,Kamareddy,503302,0,3
01-09-25,Telangana,Kamareddy,503310,1,7
01-09-25,Telangana,Karimnagar,505001,5,50
01-09-25,Telangana,Karimnagar,505101,0,2
01-09-25,Telangana,Karimnagar,505102,0,4
01-09-25,Telangana,Karimnagar,505129,1,18
01-09-25,Telangana,Karimnagar,505188,0,4
01-09-25,Telangana,Karimnagar,505301,6,10
01-09-25,Telangana,Karimnagar,505303,0,4
01-09-25,Telangana,Karimnagar,505304,0,7
01-09-25,Telangana,Karimnagar,505306,0,4
01-09-25,Telangana,Karimnagar,505326,0,7
01-09-25,Telangana,Karimnagar,505331,1,9
01-09-25,Telangana,Karimnagar,505450,1,2
01-09-25,Telangana,Karimnagar,505453,1,3
01-09-25,Telangana,Karimnagar,505473,0,3
01-09-25,Telangana,Karimnagar,505501,1,8
01-09-25,Telangana,Karimnagar,505525,0,7
01-09-25,Telangana,Karimnagar,505527,0,5
01-09-25,Telangana,Khammam,507101,4,6
01-09-25,Telangana,Khammam,507111,0,2
01-09-25,Telangana,Khammam,507118,2,0
01-09-25,Telangana,Khammam,507137,0,1
01-09-25,Telangana,Khammam,507158,1,7
01-09-25,Telangana,Khammam,507159,3,32
01-09-25,Telangana,Khammam,507161,8,17
01-09-25,Telangana,Khammam,507163,3,3
01-09-25,Telangana,Khammam,507165,8,18
01-09-25,Telangana,Khammam,507169,1,3
01-09-25,Telangana,Khammam,507170,3,26
01-09-25,Telangana,Khammam,507301,2,2
01-09-25,Telangana,Khammam,507303,3,19
01-09-25,Telangana,Khammam,507318,2,6
01-09-25,Telangana,Komaram Bheem,504313,14,33
01-09-25,Telangana,Mahabubabad,506318,0,4
01-09-25,Telangana,Mahabubnagar,509001,11,66
01-09-25,Telangana,Mahabubnagar,509131,3,8
01-09-25,Telangana,Mahabubnagar,509205,1,12
01-09-25,Telangana,Mahabubnagar,509207,2,8
01-09-25,Telangana,Mahabubnagar,509327,0,1
01-09-25,Telangana,Mahabubnagar,509339,0,16
01-09-25,Telangana,Mahabubnagar,509340,2,22
01-09-25,Telangana,Mahabubnagar,509357,0,13
01-09-25,Telangana,Mahabubnagar,509410,0,2
01-09-25,Telangana,Mancherial,504208,6,19
01-09-25,Telangana,Mancherial,504209,0,6
01-09-25,Telangana,Mancherial,504216,0,12
01-09-25,Telangana,Mancherial,504231,1,18
01-09-25,Telangana,Mancherial,504272,0,10
01-09-25,Telangana,Medak,502103,0,7
01-09-25,Telangana,Medak,502114,0,3
01-09-25,Telangana,Medak,502130,0,3
01-09-25,Telangana,Medak,502248,3,18
01-09-25,Telangana,Medak,502267,0,4
01-09-25,Telangana,Medak,502273,0,15
01-09-25,Telangana,Medak,502285,1,2
01-09-25,Telangana,Medak,502295,0,6
01-09-25,Telangana,Medak,502301,1,5
01-09-25,Telangana,Medak,502302,3,22
01-09-25,Telangana,Medak,502311,0,1
01-09-25,Telangana,Medak,502319,1,8
01-09-25,Telangana,Medak,502334,7,8
01-09-25,Telangana,Medak,502335,0,5
01-09-25,Telangana,Medak,502345,0,15
01-09-25,Telangana,Medchal-malkajgiri,500014,1,10
01-09-25,Telangana,Medchal-malkajgiri,500016,0,1
01-09-25,Telangana,Medchal-malkajgiri,500040,0,13
01-09-25,Telangana,Medchal-malkajgiri,500051,2,2
01-09-25,Telangana,Medchal-malkajgiri,500062,6,31
01-09-25,Telangana,Medchal-malkajgiri,500067,0,10
01-09-25,Telangana,Medchal-malkajgiri,500072,4,29
01-09-25,Telangana,Medchal-malkajgiri,500083,6,24
01-09-25,Telangana,Medchal-malkajgiri,500090,7,37
01-09-25,Telangana,Mulugu,507133,0,3
01-09-25,Telangana,Nagarkurnool,509105,5,23
01-09-25,Telangana,Nagarkurnool,509201,0,9
01-09-25,Telangana,Nagarkurnool,509209,2,13
01-09-25,Telangana,Nagarkurnool,509349,1,34
01-09-25,Telangana,Nagarkurnool,509360,1,16
01-09-25,Telangana,Nagarkurnool,509376,2,19
01-09-25,Telangana,Nagarkurnool,509401,0,7
01-09-25,Telangana,Nalgonda,508204,2,9
01-09-25,Telangana,Nalgonda,508206,3,12
01-09-25,Telangana,Nalgonda,508221,0,5
01-09-25,Telangana,Nalgonda,508244,1,24
01-09-25,Telangana,Nalgonda,508252,0,8
01-09-25,Telangana,Nalgonda,508280,0,8
01-09-25,Telangana,Nalgonda,508286,1,1
01-09-25,Telangana,Nalgonda,508355,0,12
01-09-25,Telangana,Nalgonda,508373,2,21
01-09-25,Telangana,Narayanpet,509205,1,20
01-09-25,Telangana,Narayanpet,509353,1,20
01-09-25,Telangana,Narayanpet,509409,1,6
01-09-25,Telangana,Nizamabad,503108,1,10
01-09-25,Telangana,Nizamabad,503110,0,1
01-09-25,Telangana,Nizamabad,503144,0,2
01-09-25,Telangana,Nizamabad,503245,4,42
01-09-25,Telangana,Nizamabad,503309,3,6
01-09-25,Telangana,Peddapalli,505152,2,24
01-09-25,Telangana,Peddapalli,505162,0,1
01-09-25,Telangana,Peddapalli,505186,0,3
01-09-25,Telangana,Peddapalli,505187,1,16
01-09-25,Telangana,Peddapalli,505215,1,1
01-09-25,Telangana,Rajanna Sircilla,505304,2,11
01-09-25,Telangana,Rangareddy,501505,8,29
01-09-25,Telangana,Sangareddy,502032,11,53
01-09-25,Telangana,Sangareddy,502256,0,1
01-09-25,Telangana,Sangareddy,502269,0,2
01-09-25,Telangana,Sangareddy,502285,1,3
01-09-25,Telangana,Sangareddy,502291,1,25
01-09-25,Telangana,Sangareddy,502293,0,4
01-09-25,Telangana,Sangareddy,502294,0,1
01-09-25,Telangana,Sangareddy,502296,1,2
01-09-25,Telangana,Siddipet,502114,0,9
01-09-25,Telangana,Siddipet,502247,1,7
01-09-25,Telangana,Siddipet,502278,6,41
01-09-25,Telangana,Siddipet,502280,1,6
01-09-25,Telangana,Siddipet,502281,0,21
01-09-25,Telangana,Siddipet,502375,0,11
01-09-25,Telangana,Siddipet,505473,1,28
01-09-25,Telangana,Siddipet,506355,0,4
01-09-25,Telangana,Suryapet,508222,1,46
01-09-25,Telangana,Suryapet,508233,1,28
01-09-25,Telangana,Vikarabad,501106,2,15
01-09-25,Telangana,Vikarabad,501121,0,4
01-09-25,Telangana,Vikarabad,501142,7,80
01-09-25,Telangana,Vikarabad,501143,5,48
01-09-25,Telangana,Vikarabad,509336,17,97
01-09-25,Telangana,Vikarabad,509340,0,1
01-09-25,Telangana,Vikarabad,509350,4,36
01-09-25,Telangana,Wanaparthy,509103,4,44
01-09-25,Telangana,Wanaparthy,509110,2,10
01-09-25,Telangana,Wanaparthy,509382,0,3
01-09-25,Telangana,Warangal,506101,2,21
01-09-25,Telangana,Warangal,506132,2,21
01-09-25,Telangana,Warangal,506169,2,2
01-09-25,Telangana,Warangal,506201,0,3
01-09-25,Telangana,Warangal,506314,0,1
01-09-25,Telangana,Warangal,506315,1,25
01-09-25,Telangana,Warangal,506318,1,3
01-09-25,Telangana,Warangal,506330,0,3
01-09-25,Telangana,Warangal,506356,0,2
01-09-25,Telangana,Warangal,506367,0,3
01-09-25,Telangana,Warangal,506369,0,6
01-09-25,Telangana,Warangal Rural,506313,1,28
01-09-25,Telangana,Warangal Rural,506349,0,24
01-09-25,Telangana,Warangal Urban,505102,0,3
01-09-25,Telangana,Warangal Urban,506001,0,3
01-09-25,Telangana,Warangal Urban,506002,7,59
01-09-25,Telangana,Warangal Urban,506007,0,2
01-09-25,Telangana,Yadadri.,508101,10,47
01-09-25,Telangana,Yadadri.,508116,2,39
01-09-25,Telangana,Yadadri.,508284,11,36
01-09-25,Telangana,Yadadri.,508286,0,7
02-09-25,Telangana,K.v. Rangareddy,509410,3,18
02-09-25,Telangana,Kamareddy,503102,2,3
02-09-25,Telangana,Kamareddy,503108,0,1
02-09-25,Telangana,Kamareddy,503125,1,8
02-09-25,Telangana,Kamareddy,503145,0,16
02-09-25,Telangana,Kamareddy,503301,1,9
02-09-25,Telangana,Kamareddy,503309,0,7
02-09-25,Telangana,Karimnagar,505129,0,10
02-09-25,Telangana,Karimnagar,505302,3,8
02-09-25,Telangana,Karimnagar,505304,2,4
02-09-25,Telangana,Karimnagar,505326,0,5
02-09-25,Telangana,Karimnagar,505416,2,13
02-09-25,Telangana,Karimnagar,505445,1,10
02-09-25,Telangana,Karimnagar,505455,0,3
02-09-25,Telangana,Karimnagar,505462,0,2
02-09-25,Telangana,Karimnagar,505466,0,11
02-09-25,Telangana,Karimnagar,505470,1,39
02-09-25,Telangana,Karimnagar,505504,0,5
02-09-25,Telangana,Karimnagar,505505,1,32
02-09-25,Telangana,Karimnagar,505514,0,1
02-09-25,Telangana,Karimnagar,505527,0,1
02-09-25,Telangana,Karimnagar,505532,0,5
02-09-25,Telangana,Khammam,507140,0,2
02-09-25,Telangana,Khammam,507159,3,14
02-09-25,Telangana,Khammam,507164,6,14
02-09-25,Telangana,Khammam,507165,9,25
02-09-25,Telangana,Khammam,507170,0,24
02-09-25,Telangana,Khammam,507182,2,16
02-09-25,Telangana,Khammam,507204,2,5
02-09-25,Telangana,Khammam,507211,1,1
02-09-25,Telangana,Komaram Bheem,504313,4,45
02-09-25,Telangana,Mahabubabad,506104,1,8
02-09-25,Telangana,Mahabubabad,506135,0,9
02-09-25,Telangana,Mahabubabad,506317,0,2
02-09-25,Telangana,Mahabubabad,507210,1,25
02-09-25,Telangana,Mahabubnagar,509125,5,16
02-09-25,Telangana,Mahabubnagar,509129,3,6
02-09-25,Telangana,Mahabubnagar,509130,2,12
02-09-25,Telangana,Mahabubnagar,509201,1,10
02-09-25,Telangana,Mahabubnagar,509202,7,26
02-09-25,Telangana,Mahabubnagar,509204,3,31
02-09-25,Telangana,Mahabubnagar,509206,1,12
02-09-25,Telangana,Mahabubnagar,509215,1,1
02-09-25,Telangana,Mahabubnagar,509216,2,3
02-09-25,Telangana,Mahabubnagar,509235,0,8
02-09-25,Telangana,Mahabubnagar,509301,4,42
02-09-25,Telangana,Mahabubnagar,509339,4,21
02-09-25,Telangana,Mahabubnagar,509349,1,13
02-09-25,Telangana,Mahabubnagar,509352,2,2
02-09-25,Telangana,Mahabubnagar,509360,1,7
02-09-25,Telangana,Mahabubnagar,509371,9,19
02-09-25,Telangana,Mahabubnagar,509382,5,18
02-09-25,Telangana,Mahabubnagar,509409,4,13
02-09-25,Telangana,Mancherial,504204,1,15
02-09-25,Telangana,Mancherial,504302,0,16
02-09-25,Telangana,Mancherial,504303,0,13
02-09-25,Telangana,Medak,502102,3,56
02-09-25,Telangana,Medak,502113,2,6
02-09-25,Telangana,Medak,502276,1,4
02-09-25,Telangana,Medak,502295,2,3
02-09-25,Telangana,Medak,502312,0,2
02-09-25,Telangana,Medak,502371,0,8
02-09-25,Telangana,Medchal-malkajgiri,500055,6,70
02-09-25,Telangana,Medchal-malkajgiri,500083,5,18
02-09-25,Telangana,Medchal−malkajgiri,500039,0,1
02-09-25,Telangana,Medchal−malkajgiri,500087,0,3
02-09-25,Telangana,Mulugu,507136,2,40
02-09-25,Telangana,Nagarkurnool,509349,1,13
02-09-25,Telangana,Nagarkurnool,509375,3,7
02-09-25,Telangana,Nagarkurnool,509401,0,2
02-09-25,Telangana,Nagarkurnool,509406,0,5
02-09-25,Telangana,Nalgonda,508112,1,8
02-09-25,Telangana,Nalgonda,508201,0,6
02-09-25,Telangana,Nalgonda,508210,2,15
02-09-25,Telangana,Nalgonda,508234,2,0
02-09-25,Telangana,Nalgonda,508244,0,7
02-09-25,Telangana,Nalgonda,508245,0,20
02-09-25,Telangana,Nalgonda,508247,1,18
02-09-25,Telangana,Nalgonda,508278,3,13
02-09-25,Telangana,Nalgonda,508284,2,2
02-09-25,Telangana,Nalgonda,508355,3,18
02-09-25,Telangana,Narayanpet,509130,5,27
02-09-25,Telangana,Narayanpet,509204,1,6
02-09-25,Telangana,Narayanpet,509352,3,22
02-09-25,Telangana,Nirmal,504102,2,43
02-09-25,Telangana,Nirmal,504306,2,17
02-09-25,Telangana,Nizamabad,503111,0,9
02-09-25,Telangana,Nizamabad,503122,1,4
02-09-25,Telangana,Nizamabad,503145,0,3
02-09-25,Telangana,Nizamabad,503180,1,3
02-09-25,Telangana,Nizamabad,503307,2,33
02-09-25,Telangana,Peddapalli,505174,0,5
02-09-25,Telangana,Rajanna Sircilla,505307,0,9
02-09-25,Telangana,Rajanna Sircilla,505405,1,14
02-09-25,Telangana,Rajanna Sircilla,505524,0,10
02-09-25,Telangana,Sangareddy,502257,0,3
02-09-25,Telangana,Sangareddy,502269,0,2
02-09-25,Telangana,Sangareddy,502273,0,8
02-09-25,Telangana,Sangareddy,502285,0,3
02-09-25,Telangana,Sangareddy,502294,1,4
02-09-25,Telangana,Sangareddy,502318,0,11
02-09-25,Telangana,Sangareddy,502329,0,4
02-09-25,Telangana,Siddipet,502107,0,28
02-09-25,Telangana,Siddipet,502277,0,11
02-09-25,Telangana,Siddipet,505467,0,23
02-09-25,Telangana,Siddipet,505530,0,5
02-09-25,Telangana,Suryapet,508212,5,35
02-09-25,Telangana,Vikarabad,501106,1,13
02-09-25,Telangana,Vikarabad,501111,0,6
02-09-25,Telangana,Vikarabad,501121,0,12
02-09-25,Telangana,Vikarabad,501143,2,39
02-09-25,Telangana,Vikarabad,501202,0,17
02-09-25,Telangana,Wanaparthy,509380,1,16
02-09-25,Telangana,Wanaparthy,509382,0,5
02-09-25,Telangana,Warangal,506003,0,2
02-09-25,Telangana,Warangal,506004,1,0
02-09-25,Telangana,Warangal,506134,1,3
02-09-25,Telangana,Warangal,506142,0,1
02-09-25,Telangana,Warangal,506172,1,4
02-09-25,Telangana,Warangal,506223,0,7
02-09-25,Telangana,Warangal,506244,2,28
02-09-25,Telangana,Warangal,506301,1,2
02-09-25,Telangana,Warangal,506315,3,17
02-09-25,Telangana,Warangal,506324,1,21
02-09-25,Telangana,Warangal,506343,1,0
